"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"AAEL0276611",3.34675873276183e-118,1.21825891250711,0.935,0.314,3.98766303008572e-114,"9","AAEL027661"
"AAEL0018151",8.14563835079507e-105,1.0691281630462,0.712,0.151,9.70552809497233e-101,"9","AAEL001815"
"AAEL0071462",2.68652848471437e-89,1.06922892248253,0.924,0.391,3.20099868953717e-85,"9","AAEL007146"
"AAEL003794",1.26009513190857e-86,1.0339087096408,0.848,0.265,1.50140334966906e-82,"9","AAEL003794"
"AAEL0182191",1.77930190480092e-178,1.7836580586004,1,0.215,2.1200382195703e-174,"10","AAEL018219"
"AAEL010856",9.22713639007865e-144,1.10214387613882,0.673,0.085,1.09941330087787e-139,"10","AAEL010856"
"AAEL0196911",6.97063000118987e-141,1.39401706821903,0.914,0.194,8.30550564641773e-137,"10","AAEL019691"
"AAEL0057541",2.80066367744017e-99,1.13792910043337,0.741,0.166,3.33699077166996e-95,"10","AAEL005754"
"AAEL0078042",4.45280628209374e-86,1.09841816245912,0.796,0.23,5.3055186851147e-82,"10","AAEL007804"
"AAEL0276612",3.17878585059844e-72,1.01899032621646,0.852,0.317,3.78752334098804e-68,"10","AAEL027661"
"AAEL0069323",1.63785228824962e-59,1.01844478889073,0.667,0.197,1.95150100144942e-55,"11","AAEL006932"
"AAEL0206142",2.17549542396396e-58,1.05115676361752,0.737,0.268,2.59210279765306e-54,"11","AAEL020614"
"AAEL009881",0,2.13272103438401,0.967,0.031,0,"12","AAEL009881"
"AAEL022731",0,2.03157846874115,0.96,0.031,0,"12","AAEL022731"
"AAEL020482",0,1.04740154599525,0.411,0.003,0,"12","AAEL020482"
"AAEL021332",7.54089916168776e-298,1.51530380018533,0.596,0.027,8.98498135115096e-294,"12","AAEL021332"
"AAEL007806",2.59295693822399e-163,1.16022489138504,0.437,0.028,3.08950819189388e-159,"12","AAEL007806"
"AAEL019818",5.93008058477716e-133,1.22794947266206,0.543,0.059,7.06569101676199e-129,"12","AAEL019818"
"AAEL008745",5.16830318230487e-122,1.0381203378228,0.404,0.033,6.15803324171625e-118,"12","AAEL008745"
"AAEL002192",4.28718909343945e-118,1.11451226687397,0.47,0.049,5.1081858048331e-114,"12","AAEL002192"
"AAEL0138821",4.63876660784682e-92,1.26747762378901,0.828,0.226,5.52709041324948e-88,"12","AAEL013882"
"AAEL027527",1.80584214504255e-74,1.06504088511259,0.934,0.599,2.1516609158182e-70,"12","AAEL027527"
"AAEL0194321",5.81869180885126e-141,1.65854201650843,0.944,0.183,6.93297129024627e-137,"13","AAEL019432"
"AAEL0017762",1.24144251145707e-75,1.13769392967913,0.754,0.168,1.4791787524011e-71,"13","AAEL001776"
"AAEL0248842",3.03773320033436e-71,1.17390261625392,0.905,0.324,3.61945910819839e-67,"13","AAEL024884"
"AAEL0213761",1.61368320916958e-70,1.13415580985705,0.754,0.193,1.92270354372555e-66,"13","AAEL021376"
"AAEL0058401",1.00708480657512e-63,1.02891780924049,0.714,0.177,1.19994154703426e-59,"13","AAEL005840"
"AAEL0275142",1.93845721692773e-61,1.00065495459997,0.706,0.169,2.30967177396939e-57,"13","AAEL027514"
"AAEL0119811",3.62372254379977e-58,1.02249065994753,0.929,0.34,4.31766541093742e-54,"13","AAEL011981"
"AAEL0093231",8.0698668027649e-256,1.53175652241941,0.847,0.056,9.61524629549438e-252,"14","AAEL009323"
"AAEL0108562",1.66970852711851e-107,1.15571417879948,0.694,0.089,1.9894577100617e-103,"14","AAEL010856"
"AAEL0110132",4.56650980563386e-89,1.24000681538785,0.766,0.137,5.44099643341274e-85,"14","AAEL011013"
"AAEL0195131",1.28647087356404e-76,1.22377439529393,1,0.531,1.53283004585156e-72,"14","AAEL019513"
"AAEL0272421",1.54845639957971e-62,1.1226286164253,0.946,0.349,1.84498580009922e-58,"14","AAEL027242"
"AAEL0052042",3.76842949246791e-58,1.07634865396389,0.919,0.329,4.49008374027552e-54,"14","AAEL005204"
"AAEL0026842",2.90585436660073e-49,1.00175134705675,0.874,0.282,3.46232547780477e-45,"14","AAEL002684"
"AAEL025165",6.56579675734011e-106,1.10261432244239,0.617,0.069,7.82314683637074e-102,"15","AAEL025165"
"AAEL026764",1.82261221838351e-72,1.04046363327933,0.617,0.1,2.17164245820395e-68,"15","AAEL026764"
"AAEL0194572",9.54270827759043e-49,1.00363860470095,0.944,0.397,1.1370136912749e-44,"15","AAEL019457"
"AAEL0005282",4.32954308423414e-39,1.01223463718537,0.701,0.24,5.15865058486498e-35,"15","AAEL000528"
"AAEL0248843",3.87590272462033e-61,1.26492103714632,0.9,0.327,4.61813809638513e-57,"16","AAEL024884"
