"","avg.exp","pct.exp","features.plot","id","avg.exp.scaled"
"AAEL0198044",0.812314975344697,7.07070707070707,"AAEL019804","4",-0.148367199354006
"AAEL0198054",3.76815358489415,21.2121212121212,"AAEL019805","4",-0.187787944789016
"AAEL0087864",0.468414346624432,4.04040404040404,"AAEL008786","4",0.399240195727519
"AAEL0091054",0.0757054642612759,1.01010101010101,"AAEL009105","4",-0.947080244924636
"AAEL0090924",0.459199211047235,4.04040404040404,"AAEL009092","4",-0.316575863957582
"AAEL0114754",0.869614843805519,6.3973063973064,"AAEL011475","4",-0.159097796266673
"AAEL0221894",0.133554025168183,1.01010101010101,"AAEL022189","4",0.310826951446831
"AAEL0194454",0.465468725552807,2.69360269360269,"AAEL019445","4",2.08444398481203
"AAEL0070044",0.118976379345817,1.01010101010101,"AAEL007004","4",-0.322336451239204
"AAEL0086554",1.12884907390588,7.40740740740741,"AAEL008655","4",1.614802081802
"AAEL0071694",0.444886571514768,3.36700336700337,"AAEL007169","4",-0.231404641462354
"AAEL0090244",2.59871143209537,12.4579124579125,"AAEL009024","4",-0.124173931908161
"AAEL0066564",0.621176750190832,4.71380471380471,"AAEL006656","4",0.204966711300047
"AAEL0098224",0.866526419957751,6.06060606060606,"AAEL009822","4",0.568401337248483
"AAEL0096814",0.0898841161192482,0.673400673400673,"AAEL009681","4",-0.823624450876161
"AAEL0095454",0.0579518651807808,0.336700336700337,"AAEL009545","4",-0.132704420947568
"AAEL0197104",14.0466229014551,61.952861952862,"AAEL019710","4",-0.78175995192877
"AAEL0034734",1.0937880214472,8.41750841750842,"AAEL003473","4",-0.313105780876283
"AAEL0129204",0.837219505955857,6.3973063973064,"AAEL012920","4",-0.379822710137334
"AAEL0197044",1.69831479377529,12.4579124579125,"AAEL019704","4",0.133319144107715
"AAEL0124974",0.101818136534229,0.673400673400673,"AAEL012497","4",0.0819013255708171
"AAEL0046784",0.446861929489458,3.36700336700337,"AAEL004678","4",0.365669789350569
"AAEL0082824",0.0579518651807808,0.336700336700337,"AAEL008282","4",0.373526169611693
"AAEL0039774",0,0,"AAEL003977","4",-0.465935501231882
"AAEL0048174",0.16750529397291,1.34680134680135,"AAEL004817","4",-0.976442807410359
"AAEL0171814",0.947599337360837,8.08080808080808,"AAEL017181","4",-0.256556921331094
"AAEL0141524",0.515783527798022,4.37710437710438,"AAEL014152","4",-0.791833593604479
"AAEL0279184",0.0448960152167561,0.673400673400673,"AAEL027918","4",-0.599593238699639
"AAEL0142554",0,0,"AAEL014255","4",-0.324779282621617
"AAEL0079364",0.18695031460402,1.68350168350168,"AAEL007936","4",-1.08358241901189
"AAEL0172724",1.96662114691953,14.4781144781145,"AAEL017272","4",-0.619521655839408
"AAEL0066364",0.178565891174793,1.68350168350168,"AAEL006636","4",-0.721350070261801
"AAEL0197564",0.917323014316533,7.07070707070707,"AAEL019756","4",0.557547471117088
"AAEL0197904",1.42991998595357,11.4478114478114,"AAEL019790","4",0.160837642159216
"AAEL0116804",3.94843307125657,22.5589225589226,"AAEL011680","4",-0.186555373800869
"AAEL0135054",4.3598791986156,25.5892255892256,"AAEL013505","4",-0.211540827730606
"AAEL0239894",0.432044003175226,2.69360269360269,"AAEL023989","4",0.69162624627856
"AAEL0049474",0.0579518651807808,0.336700336700337,"AAEL004947","4",-0.206400305926447
"AAEL0050014",0,0,"AAEL005001","4",-1.11380997279178
"AAEL0088944",5.40158861359342,33.6700336700337,"AAEL008894","4",-0.876721743075133
