"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"Pharaoh-ant-084633",1.9710036481677e-129,1.02037332691286,0.972,0.85,2.40225924638679e-125,"16","Pharaoh-ant-08463"
"Pharaoh-ant-039303",4.70585558642826e-126,1.38968115780451,0.947,0.719,5.73549678873876e-122,"16","Pharaoh-ant-03930"
"Pharaoh-ant-138774",7.77595408579792e-108,1.06662222346349,0.919,0.599,9.4773328397705e-104,"16","Pharaoh-ant-13877"
"Pharaoh-ant-128632",9.30148210551533e-100,1.24386970153485,0.502,0.18,1.13366463902021e-95,"16","Pharaoh-ant-12863"
"Pharaoh-ant-132353",9.16040295012433e-91,1.31516392333442,0.87,0.636,1.11646991156115e-86,"16","Pharaoh-ant-13235"
"Pharaoh-ant-11584",1.65441391526827e-76,1.1892876223474,0.427,0.158,2.01639967992897e-72,"16","Pharaoh-ant-11584"
"Pharaoh-ant-027711",4.37746003817586e-69,1.06326328409143,0.689,0.393,5.33524829452873e-65,"16","Pharaoh-ant-02771"
"Pharaoh-ant-047971",5.9943665130864e-68,1.02050364962164,0.552,0.262,7.30593390614971e-64,"16","Pharaoh-ant-04797"
"Pharaoh-ant-138791",4.89464512977427e-42,1.14335937171817,0.317,0.133,5.96559348416888e-38,"16","Pharaoh-ant-13879"
"Pharaoh-ant-042295",6.08988875328704e-190,1.75181749609257,0.859,0.379,7.42235641250625e-186,"17","Pharaoh-ant-04229"
"Pharaoh-ant-073704",5.22153552270125e-136,1.40827733617747,0.912,0.699,6.36400749506828e-132,"17","Pharaoh-ant-07370"
"Pharaoh-ant-083865",1.07361166874893e-116,1.39569331870416,0.799,0.441,1.3085179018712e-112,"17","Pharaoh-ant-08386"
"Pharaoh-ant-087985",3.96296929543629e-90,1.49361957999864,0.665,0.371,4.83006697727776e-86,"17","Pharaoh-ant-08798"
"Pharaoh-ant-116234",7.41846654372822e-78,1.55221509804223,0.573,0.299,9.04162702349595e-74,"17","Pharaoh-ant-11623"
"Pharaoh-ant-167505",4.11290371386033e-61,1.36714475422015,0.602,0.38,5.01280704645297e-57,"17","Pharaoh-ant-16750"
"Pharaoh-ant-122805",9.62514769983625e-54,1.23381969980348,0.568,0.352,1.17311300165604e-49,"17","Pharaoh-ant-12280"
"Pharaoh-ant-181795",6.62469242990535e-47,1.03047723619692,0.753,0.629,8.07417513356864e-43,"17","Pharaoh-ant-18179"
"Pharaoh-ant-096966",7.35848623825697e-43,1.17578836092963,0.631,0.493,8.9685230271876e-39,"17","Pharaoh-ant-09696"
"Pharaoh-ant-171154",1.48084983313818e-38,1.63743632555595,0.307,0.146,1.80485977662882e-34,"17","Pharaoh-ant-17115"
"Pharaoh-ant-076975",9.9074710354321e-37,1.28410108400521,0.514,0.365,1.20752256979846e-32,"17","Pharaoh-ant-07697"
"Pharaoh-ant-096115",1.38166160623818e-36,1.14082996021883,0.599,0.461,1.68396916568309e-32,"17","Pharaoh-ant-09611"
"Pharaoh-ant-001585",1.02649010634697e-34,1.08260621651431,0.573,0.435,1.25108614161569e-30,"17","Pharaoh-ant-00158"
"Pharaoh-ant-137154",4.91276593103517e-34,1.04383035359207,0.645,0.616,5.98767911674566e-30,"17","Pharaoh-ant-13715"
"Pharaoh-ant-005915",2.15214192649244e-33,1.22923791628924,0.552,0.449,2.62303058000898e-29,"17","Pharaoh-ant-00591"
"Pharaoh-ant-181654",4.92978173330173e-32,1.27811276434539,0.459,0.318,6.00841797654815e-28,"17","Pharaoh-ant-18165"
"Pharaoh-ant-149704",3.86392119337152e-29,1.16950467706241,0.488,0.344,4.70934715048121e-25,"17","Pharaoh-ant-14970"
"Pharaoh-ant-179345",9.38953749875074e-29,1.03444225964276,0.61,0.545,1.14439683034774e-24,"17","Pharaoh-ant-17934"
"Pharaoh-ant-120515",7.21895316499228e-28,1.05532369872201,0.587,0.528,8.79846011749259e-24,"17","Pharaoh-ant-12051"
"Pharaoh-ant-170954",8.6349534872073e-28,1.34119472772052,0.284,0.148,1.05242813102083e-23,"17","Pharaoh-ant-17095"
"Pharaoh-ant-141354",4.06012545476846e-27,1.06382035401437,0.43,0.285,4.94848090427179e-23,"17","Pharaoh-ant-14135"
"Pharaoh-ant-012345",8.19932705194755e-24,1.22787568406395,0.467,0.375,9.99333981091368e-20,"17","Pharaoh-ant-01234"
"Pharaoh-ant-016836",3.169524848644e-22,1.0764723563553,0.478,0.384,3.86301688552731e-18,"17","Pharaoh-ant-01683"
"Pharaoh-ant-130055",4.67831936285986e-22,1.14492185318281,0.448,0.336,5.7019356394536e-18,"17","Pharaoh-ant-13005"
"Pharaoh-ant-028865",3.92062785724558e-17,1.0152963947255,0.491,0.437,4.77846123241091e-13,"17","Pharaoh-ant-02886"
"Pharaoh-ant-220035",7.9659681266116e-17,1.19577298013547,0.254,0.155,9.70892195271421e-13,"17","Pharaoh-ant-22003"
"Pharaoh-ant-149755",5.67937844246064e-16,1.13774399981808,0.321,0.233,6.92202644567103e-12,"17","Pharaoh-ant-14975"
"Pharaoh-ant-133145",1.27026610975524e-15,1.11096887767064,0.329,0.236,1.54820033456968e-11,"17","Pharaoh-ant-13314"
"Pharaoh-ant-159254",9.88371165737345e-14,1.16231832847973,0.25,0.165,1.20462677680068e-09,"17","Pharaoh-ant-15925"
"Pharaoh-ant-174235",1.11575176914733e-13,1.12450102571494,0.27,0.183,1.35987825623677e-09,"17","Pharaoh-ant-17423"
"Pharaoh-ant-170955",0,2.95499513805324,0.866,0.134,0,"18","Pharaoh-ant-17095"
"Pharaoh-ant-171155",0,2.58595732131524,0.786,0.135,0,"18","Pharaoh-ant-17115"
"Pharaoh-ant-131221",0,2.32057133743328,0.558,0.061,0,"18","Pharaoh-ant-13122"
"Pharaoh-ant-116235",0,2.31567451475788,0.929,0.291,0,"18","Pharaoh-ant-11623"
"Pharaoh-ant-083866",0,2.21306773466687,0.99,0.436,0,"18","Pharaoh-ant-08386"
"Pharaoh-ant-042296",0,2.20168175141688,0.988,0.376,0,"18","Pharaoh-ant-04229"
"Pharaoh-ant-072021",0,2.056431945914,0.596,0.101,0,"18","Pharaoh-ant-07202"
"Pharaoh-ant-10812",0,1.83716079409939,0.377,0.041,0,"18","Pharaoh-ant-10812"
"Pharaoh-ant-001586",9.38874628431557e-288,2.13464341709875,0.955,0.425,1.14430039713238e-283,"18","Pharaoh-ant-00158"
"Pharaoh-ant-050244",4.46148921161077e-287,1.94739905092624,0.631,0.128,5.4376630511112e-283,"18","Pharaoh-ant-05024"
"Pharaoh-ant-130056",3.14199866811588e-268,2.1379180422564,0.873,0.325,3.82946797669964e-264,"18","Pharaoh-ant-13005"
"Pharaoh-ant-057534",5.90393484618341e-268,2.22336310693517,0.851,0.301,7.19571579052834e-264,"18","Pharaoh-ant-05753"
"Pharaoh-ant-073705",1.13244030664907e-267,1.83899053409417,0.997,0.698,1.38021824574389e-263,"18","Pharaoh-ant-07370"
"Pharaoh-ant-174236",1.60753150725203e-266,1.89517889251909,0.704,0.172,1.95925940103878e-262,"18","Pharaoh-ant-17423"
"Pharaoh-ant-167506",1.19933193822677e-264,1.97828804022881,0.916,0.372,1.46174576631079e-260,"18","Pharaoh-ant-16750"
"Pharaoh-ant-051734",2.06217314528031e-259,2.12369014549951,0.846,0.295,2.51337662946764e-255,"18","Pharaoh-ant-05173"
"Pharaoh-ant-096116",1.99739044223089e-256,1.92345909255023,0.95,0.452,2.43441947099101e-252,"18","Pharaoh-ant-09611"
"Pharaoh-ant-122806",2.23940789255993e-243,1.74512355408279,0.916,0.343,2.72939033945204e-239,"18","Pharaoh-ant-12280"
"Pharaoh-ant-096276",1.49724044737521e-234,1.92143257279499,0.795,0.263,1.82483665726091e-230,"18","Pharaoh-ant-09627"
"Pharaoh-ant-077095",1.246178192789e-213,1.78845063805179,0.871,0.384,1.51884198137123e-209,"18","Pharaoh-ant-07709"
"Pharaoh-ant-141355",2.7470168315345e-212,1.71876818778896,0.8,0.276,3.34806411427425e-208,"18","Pharaoh-ant-14135"
