"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"Pharaoh-ant-153115",3.40945783539596e-07,0.492970293755563,0.62,0.491,0.00415544720978059,"30","Pharaoh-ant-15311"
"Pharaoh-ant-104604",5.38205444858696e-07,0.566317358616279,0.383,0.264,0.00655964796193779,"30","Pharaoh-ant-10460"
"Pharaoh-ant-052911",6.22824017891307e-07,0.676600451573562,0.371,0.265,0.00759097913005925,"30","Pharaoh-ant-05291"
"Pharaoh-ant-14075",9.30446157765267e-07,0.622101430308222,0.276,0.181,0.0113402777708431,"30","Pharaoh-ant-14075"
"Pharaoh-ant-109844",1.45328435342369e-06,0.513729533528004,0.484,0.379,0.017712629699528,"30","Pharaoh-ant-10984"
"Pharaoh-ant-09935",1.64313530620478e-06,0.481012772925435,0.326,0.22,0.0200265331120239,"30","Pharaoh-ant-09935"
"Pharaoh-ant-138014",1.81058033568532e-06,0.440490474515144,0.377,0.267,0.0220673531313326,"30","Pharaoh-ant-13801"
"Pharaoh-ant-120152",1.95322716968908e-06,0.56933260649855,0.507,0.405,0.0238059327441705,"30","Pharaoh-ant-12015"
"Pharaoh-ant-006047",2.21243118871136e-06,0.511171656252797,0.519,0.413,0.026965111328014,"30","Pharaoh-ant-00604"
"Pharaoh-ant-167458",3.17410724007444e-06,0.447026173072819,0.463,0.352,0.0386860190420272,"30","Pharaoh-ant-16745"
"Pharaoh-ant-123294",4.81714539273115e-06,0.438385782765646,0.3,0.197,0.0587113680466073,"30","Pharaoh-ant-12329"
"Pharaoh-ant-117902",4.91583549644079e-06,0.511184666361568,0.395,0.289,0.0599142030306204,"30","Pharaoh-ant-11790"
"Pharaoh-ant-076032",6.67485402072119e-06,0.411303717574632,0.513,0.417,0.0813531208045499,"30","Pharaoh-ant-07603"
"Pharaoh-ant-050932",7.01218028974714e-06,0.438831259402373,0.496,0.387,0.0854644533714382,"30","Pharaoh-ant-05093"
"Pharaoh-ant-137706",8.03663483347834e-06,0.436702549943307,0.415,0.312,0.097950505350434,"30","Pharaoh-ant-13770"
"Pharaoh-ant-039334",1.3973146368359e-05,0.377355473001351,0.635,0.514,0.17030470793756,"30","Pharaoh-ant-03933"
"Pharaoh-ant-140802",1.42130591572458e-05,0.476253557860435,0.525,0.418,0.173228765008512,"30","Pharaoh-ant-14080"
"Pharaoh-ant-05094",1.80493058694101e-05,0.419816866245093,0.297,0.204,0.21998493993637,"30","Pharaoh-ant-05094"
