p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
5.30888972469589e-110,0.957078828257585,0.9,0.45,6.32554210697515e-106,7,AAEL000166
6.16657103615575e-107,0.887550009602084,0.939,0.545,7.34746938957957e-103,7,AAEL019477
9.19446595061162e-107,0.945070590223548,0.92,0.521,1.09552061801537e-102,7,AAEL028110
7.83144472893931e-102,0.65569789657275,0.303,0.033,9.33116639453119e-98,7,AAEL000445
8.10272843369449e-101,1.07206955807468,0.655,0.185,9.65440092874699e-97,7,AAEL011088
2.94539573861062e-97,0.591191904009204,0.958,0.797,3.50943902255455e-93,7,AAEL000511
9.4239648326619e-95,0.788922869496027,0.958,0.63,1.12286540981166e-90,7,AAEL025453
1.44273836020018e-92,0.772734231884247,0.985,0.619,1.71902275617851e-88,7,AAEL019970
1.24865744107487e-90,0.635511763064314,0.299,0.037,1.4877753410407e-86,7,AAEL027654
1.09173013510773e-89,0.884365319733705,0.862,0.44,1.30079645598086e-85,7,AAEL019595
3.90439084705087e-89,0.82198000071071,0.49,0.103,4.65208169426111e-85,7,AAEL023348
6.32520193952762e-89,0.804940840112235,0.467,0.095,7.53647811094716e-85,7,AAEL026437
9.22445747265737e-89,0.956805993812616,0.709,0.243,1.09909410786713e-84,7,AAEL026392
7.93578037061903e-84,0.618991907828452,0.931,0.699,9.45548231159258e-80,7,AAEL013466
1.71502056074152e-83,0.836670284988115,0.552,0.141,2.04344699812352e-79,7,AAEL009371
3.27827602447322e-83,0.931627604408025,0.793,0.322,3.90606588315985e-79,7,AAEL005204
4.97859342024063e-82,0.89246862732379,0.632,0.197,5.93199406021671e-78,7,AAEL001244
2.38370740796027e-80,0.862911321293656,0.521,0.132,2.84018737658467e-76,7,AAEL011086
1.36511536252369e-79,0.64312521030659,0.326,0.049,1.62653495444697e-75,7,AAEL002390
3.67530697404563e-76,0.904809252898372,0.743,0.345,4.37912825957537e-72,7,AAEL013128
6.94965427053052e-76,0.627308806675612,0.303,0.045,8.28051306333712e-72,7,AAEL009765
1.27768727499007e-75,0.861104739062105,0.467,0.104,1.52236438815067e-71,7,AAEL007191
1.55132133427167e-75,0.863364568393571,0.567,0.167,1.84839936978469e-71,7,AAEL022771
1.56367569245552e-75,0.62492796854941,0.939,0.682,1.86311958756075e-71,7,AAEL008078
6.19280914283371e-75,0.750139602439204,0.494,0.115,7.37873209368636e-71,7,AAEL002451
7.40911851993397e-75,0.605034025624626,0.908,0.677,8.82796471650133e-71,7,AAEL003731
1.91881929973766e-74,0.7714107094953,0.467,0.111,2.28627319563742e-70,7,AAEL028021
1.28842705495606e-73,0.954661193665942,0.625,0.222,1.53516083598015e-69,7,AAEL023521
1.55276496057374e-71,0.59345743599861,0.299,0.047,1.85011945052361e-67,7,AAEL011134
1.34067363812514e-70,0.834628565858613,0.762,0.353,1.5974126398261e-66,7,AAEL006776
3.39809124003082e-70,0.858145440872662,0.72,0.308,4.04882571249672e-66,7,AAEL019559
6.05379891659317e-70,0.562454437064715,0.264,0.037,7.21310140912076e-66,7,AAEL012297
5.42816694103906e-69,0.779466642154755,0.54,0.148,6.46766091024804e-65,7,AAEL019672
1.81803510467735e-68,0.859983457450499,0.693,0.287,2.16618882722306e-64,7,AAEL023547
2.13915604302771e-66,0.794918992836679,0.747,0.373,2.54880442526752e-62,7,AAEL014003
4.82258904319656e-63,0.720904876770529,0.46,0.12,5.7461148449687e-59,7,AAEL003277
1.00149446397981e-61,0.802229068001444,0.644,0.26,1.19328065383195e-57,7,AAEL005643
1.64474234570212e-60,0.688637775645872,0.368,0.083,1.95971050490407e-56,7,AAEL005460
3.06577549890795e-60,0.697992084529904,0.851,0.494,3.65287150694882e-56,7,AAEL025245
1.26172211071143e-59,0.778001352551424,0.548,0.179,1.50334189491267e-55,7,AAEL014886
2.46940573474433e-57,0.745271108008709,0.762,0.417,2.94229693294787e-53,7,AAEL019690
5.44765776450315e-57,0.793394154710503,0.693,0.33,6.49088422640551e-53,7,AAEL007838
4.80700377045406e-56,0.791786927898833,0.617,0.258,5.72754499249601e-52,7,AAEL018119
8.87371327001954e-56,0.79518313556291,0.625,0.259,1.05730293612283e-51,7,AAEL011564
8.8769242657794e-55,0.616358855931157,0.356,0.083,1.05768552626762e-50,7,AAEL001540
8.29433157164318e-54,0.570086629613718,0.858,0.635,9.88269606761285e-50,7,AAEL018320
1.59225733560536e-53,0.752754451416104,0.701,0.369,1.89717461537379e-49,7,AAEL006254
1.69080164329712e-53,0.723660949288606,0.732,0.398,2.01459015798852e-49,7,AAEL019956
