"","avg.exp","pct.exp","features.plot","id","avg.exp.scaled"
"Pharaoh-ant-1205118",19.0779530766071,89.2384105960265,"Pharaoh-ant-12051","18",1.97712750408322
"Pharaoh-ant-1300018",3.74750629758997,39.9006622516556,"Pharaoh-ant-13000","18",1.02985578120761
"Pharaoh-ant-1404418",22.6608536815024,87.9139072847682,"Pharaoh-ant-14044","18",1.28324569928418
"Pharaoh-ant-1508918",5.92784312887603,47.8476821192053,"Pharaoh-ant-15089","18",1.73537947905401
"Pharaoh-ant-1709518",18.9020277897034,86.5894039735099,"Pharaoh-ant-17095","18",2.5
"Pharaoh-ant-1746918",7.19206869864555,56.6225165562914,"Pharaoh-ant-17469","18",0.876723055657382
"Pharaoh-ant-0154219",3.21588800403813,26.0434056761269,"Pharaoh-ant-01542","19",2.01865411998158
"Pharaoh-ant-0287319",5.97500714527263,42.4040066777963,"Pharaoh-ant-02873","19",2.00999660341664
"Pharaoh-ant-0564319",8.46323774917126,53.5893155258765,"Pharaoh-ant-05643","19",2.30384856984598
"Pharaoh-ant-0799119",5.84188646032825,41.9031719532554,"Pharaoh-ant-07991","19",2.5
"Pharaoh-ant-0909719",4.33612532248029,30.7178631051753,"Pharaoh-ant-09097","19",1.2112486662279
"Pharaoh-ant-0963919",4.23035449790548,34.7245409015025,"Pharaoh-ant-09639","19",2.36061365558449
"Pharaoh-ant-1739019",12.0491054241576,59.7662771285476,"Pharaoh-ant-17390","19",2.5
"Pharaoh-ant-1746919",7.5724530894744,47.9131886477462,"Pharaoh-ant-17469","19",1.08051203701766
"Pharaoh-ant-1564320",3.63921023216656,43.8223938223938,"Pharaoh-ant-15643","20",1.02388834115785
"Pharaoh-ant-1739020",6.8036975154584,59.4594594594595,"Pharaoh-ant-17390","20",1.53371526355815
"Pharaoh-ant-0085721",32.5023496018443,80.2845528455285,"Pharaoh-ant-00857","21",2.5
"Pharaoh-ant-1508922",4.39899731681194,41.1764705882353,"Pharaoh-ant-15089","22",0.679218361807588
"Pharaoh-ant-1739022",4.6737286850583,42.436974789916,"Pharaoh-ant-17390","22",0.511189221228752
"Pharaoh-ant-0287323",4.00959868985475,40.6466512702078,"Pharaoh-ant-02873","23",0.808844858692073
"Pharaoh-ant-0530623",2.70455636754628,25.4041570438799,"Pharaoh-ant-05306","23",2.5
"Pharaoh-ant-0799123",4.90226435896802,40.1847575057737,"Pharaoh-ant-07991","23",2.24370215454707
"Pharaoh-ant-0811323",3.69658571115481,41.108545034642,"Pharaoh-ant-08113","23",0.637061810095663
"Pharaoh-ant-0909723",7.9978090501417,62.3556581986143,"Pharaoh-ant-09097","23",2.5
"Pharaoh-ant-0963923",3.31499080284413,35.5658198614319,"Pharaoh-ant-09639","23",1.2995590573504
"Pharaoh-ant-1371623",7.78084179464351,55.8891454965358,"Pharaoh-ant-13716","23",2.5
"Pharaoh-ant-1746923",8.31997795362795,63.2794457274827,"Pharaoh-ant-17469","23",1.4809946390387
"Pharaoh-ant-0057724",2.44518731543302,25.2450980392157,"Pharaoh-ant-00577","24",1.8823867859488
"Pharaoh-ant-0564324",6.04087262125078,46.3235294117647,"Pharaoh-ant-05643","24",1.41225554453452
"Pharaoh-ant-0737024",78.6696607225863,99.2647058823529,"Pharaoh-ant-07370","24",2.5
"Pharaoh-ant-0811324",4.07735744755419,35.7843137254902,"Pharaoh-ant-08113","24",1.19404351178067
"Pharaoh-ant-0938024",2.86069895654519,27.9411764705882,"Pharaoh-ant-09380","24",1.60600095689513
"Pharaoh-ant-1007124",4.45583484503894,37.9901960784314,"Pharaoh-ant-10071","24",2.5
"Pharaoh-ant-1090424",41.3914946149896,96.8137254901961,"Pharaoh-ant-10904","24",1.16562427028724
"Pharaoh-ant-1205124",19.1855897335947,84.8039215686274,"Pharaoh-ant-12051","24",1.99499907198905
"Pharaoh-ant-1300024",4.05724313336477,37.7450980392157,"Pharaoh-ant-13000","24",1.34332571960066
"Pharaoh-ant-1404424",20.3939813778035,83.3333333333333,"Pharaoh-ant-14044","24",1.01675346468601
"Pharaoh-ant-1508924",4.99009723263402,37.0098039215686,"Pharaoh-ant-15089","24",1.08756349548464
"Pharaoh-ant-1709524",8.06423086336509,54.656862745098,"Pharaoh-ant-17095","24",1.92044078389183
"Pharaoh-ant-0909725",4.04608864997055,37.4677002583979,"Pharaoh-ant-09097","25",1.04117686510787
"Pharaoh-ant-0963925",2.92561769530698,35.9173126614987,"Pharaoh-ant-09639","25",0.848212637987213
"Pharaoh-ant-1739025",7.05746781624015,51.6795865633075,"Pharaoh-ant-17390","25",1.65554180750356
"Pharaoh-ant-1746925",6.8877545996565,54.5219638242894,"Pharaoh-ant-17469","25",0.713688341978893
"Pharaoh-ant-0057726",2.52912915307772,32.7127659574468,"Pharaoh-ant-00577","26",2.0609154448114
"Pharaoh-ant-0059526",3.11387298483925,29.5212765957447,"Pharaoh-ant-00595","26",2.5
"Pharaoh-ant-0066326",2.05334618369107,26.3297872340426,"Pharaoh-ant-00663","26",1.86484237108562
"Pharaoh-ant-0274026",5.89777541046251,57.9787234042553,"Pharaoh-ant-02740","26",0.521054387684369
"Pharaoh-ant-0564326",10.5930433039382,68.3510638297872,"Pharaoh-ant-05643","26",2.5
"Pharaoh-ant-0805326",2.80580285199647,32.9787234042553,"Pharaoh-ant-08053","26",2.1503550060198
"Pharaoh-ant-0811326",4.19770281424203,43.8829787234042,"Pharaoh-ant-08113","26",1.37008117613449
"Pharaoh-ant-1090426",87.2799268863045,99.2021276595745,"Pharaoh-ant-10904","26",2.5
"Pharaoh-ant-1564326",4.12192753664091,44.6808510638298,"Pharaoh-ant-15643","26",1.37262553369058
"Pharaoh-ant-0322627",2.07549547460436,25.8152173913043,"Pharaoh-ant-03226","27",2.38008677399521
"Pharaoh-ant-0799127",3.89567968299827,30.4347826086957,"Pharaoh-ant-07991","27",1.5543804462266
"Pharaoh-ant-0811327",3.76196800308985,45.1086956521739,"Pharaoh-ant-08113","27",0.732701104562235
"Pharaoh-ant-0908727",2.40029971122136,25.2717391304348,"Pharaoh-ant-09087","27",2.5
"Pharaoh-ant-1508927",5.50794531793394,49.4565217391304,"Pharaoh-ant-15089","27",1.44530461497391
"Pharaoh-ant-0154228",7.81739668425949,52.6315789473684,"Pharaoh-ant-01542","28",2.5
"Pharaoh-ant-0287328",4.20448937212779,37.3961218836565,"Pharaoh-ant-02873","28",0.927951542291359
"Pharaoh-ant-0811328",4.36951885011487,38.781163434903,"Pharaoh-ant-08113","28",1.62140862218435
"Pharaoh-ant-0909728",8.30140255565351,53.4626038781163,"Pharaoh-ant-09097","28",2.5
"Pharaoh-ant-0963928",4.89746595158564,40.1662049861496,"Pharaoh-ant-09639","28",2.5
"Pharaoh-ant-1404428",21.4078798705106,78.1163434903047,"Pharaoh-ant-14044","28",1.13594680192707
"Pharaoh-ant-1564328",3.37798704973028,29.0858725761773,"Pharaoh-ant-15643","28",0.835168694228079
"Pharaoh-ant-1739028",5.2406601854297,41.5512465373961,"Pharaoh-ant-17390","28",0.783353872219325
"Pharaoh-ant-1746928",7.20026014042475,51.5235457063712,"Pharaoh-ant-17469","28",0.881111578468262
"Pharaoh-ant-0004629",2.80102186276491,25.7703081232493,"Pharaoh-ant-00046","29",1.61672532130019
"Pharaoh-ant-0274729",4.03094444822686,34.453781512605,"Pharaoh-ant-02747","29",2.5
"Pharaoh-ant-0564929",5.00858000387747,36.1344537815126,"Pharaoh-ant-05649","29",0.752027134058088
"Pharaoh-ant-0791429",5.75547877842659,44.5378151260504,"Pharaoh-ant-07914","29",1.62805225404954
"Pharaoh-ant-0815129",3.44559523919093,28.5714285714286,"Pharaoh-ant-08151","29",2.5
"Pharaoh-ant-1660729",9.56583417574476,49.0196078431373,"Pharaoh-ant-16607","29",2.5
"Pharaoh-ant-0442830",3.52951510727657,31.1572700296736,"Pharaoh-ant-04428","30",2.5
"Pharaoh-ant-0737030",69.6381347901209,94.0652818991098,"Pharaoh-ant-07370","30",2.17469418144871
"Pharaoh-ant-0799130",3.86689100739933,31.1572700296736,"Pharaoh-ant-07991","30",1.53466560303665
"Pharaoh-ant-1370330",4.60256766853062,34.1246290801187,"Pharaoh-ant-13703","30",2.5
"Pharaoh-ant-1576030",9.29132060397684,52.5222551928783,"Pharaoh-ant-15760","30",2.5
"Pharaoh-ant-0571331",4.05810815623728,28.6644951140065,"Pharaoh-ant-05713","31",2.5
"Pharaoh-ant-1007131",2.32872133527334,25.7328990228013,"Pharaoh-ant-10071","31",1.92774377739986
"Pharaoh-ant-1660731",3.35549030207862,25.4071661237785,"Pharaoh-ant-16607","31",0.61944255121948
"Pharaoh-ant-0057732",2.13904652581472,29.9065420560748,"Pharaoh-ant-00577","32",1.23128232925314
"Pharaoh-ant-0059532",3.43748055343691,35.5140186915888,"Pharaoh-ant-00595","32",2.5
"Pharaoh-ant-0066332",2.44962499646104,31.7757009345794,"Pharaoh-ant-00663","32",2.48126563597865
"Pharaoh-ant-0564332",14.0237334682741,80.3738317757009,"Pharaoh-ant-05643","32",2.5
"Pharaoh-ant-0805332",2.73845975908023,34.1121495327103,"Pharaoh-ant-08053","32",2.05099795832882
"Pharaoh-ant-0811332",3.91078884271407,47.6635514018692,"Pharaoh-ant-08113","32",0.95039185357609
"Pharaoh-ant-1090432",107.129747373996,99.5327102803738,"Pharaoh-ant-10904","32",2.5
"Pharaoh-ant-1825232",8.08787370990669,52.803738317757,"Pharaoh-ant-18252","32",2.5
"Pharaoh-ant-0066333",1.97671047162958,25.3731343283582,"Pharaoh-ant-00663","33",1.74563328315549
"Pharaoh-ant-0274033",6.28640342640513,63.18407960199,"Pharaoh-ant-02740","33",0.74261026953094
"Pharaoh-ant-0564333",3.91271497186637,37.8109452736318,"Pharaoh-ant-05643","33",0.628950626921503
"Pharaoh-ant-0737033",46.5060115321432,98.5074626865672,"Pharaoh-ant-07370","33",1.11890025684996
