,avg.exp,pct.exp,features.plot,id,avg.exp.scaled,OG
AAEL01062619,2.59031800953198,29.7872340425532,AAEL010626,19,2.27050448327597,OG0000004
AAEL01168019,12.8198213122347,82.9787234042553,AAEL011680,19,1.84710866875984,OG0000004
AAEL01312819,4.3311738051792,46.8085106382979,AAEL013128,19,0.571879010728599,OG0001440
AAEL01718119,1.73440820533131,26.5957446808511,AAEL017181,19,0.72611435752298,OG0000499
AAEL01727219,10.9778644448851,77.6595744680851,AAEL017272,19,2.5,OG0000006
AAEL01737419,11.1324112622082,85.1063829787234,AAEL017374,19,1.79666990418062,OG0000248
AAEL01835219,45.0041512913794,98.936170212766,AAEL018352,19,1.27151925651414,OG0000022
AAEL01960819,5.90883319506931,56.3829787234042,AAEL019608,19,1.04891475267587,OG0001884
AAEL01975719,5.29803575858073,54.2553191489362,AAEL019757,19,0.561258425808961,OG0000081
AAEL01988119,1.71358458828524,27.6595744680851,AAEL019881,19,1.07840289570953,OG0004091
AAEL02110019,53.0432222985992,100,AAEL021100,19,2.3953181256537,OG0000006
AAEL02744419,3.51406693895686,46.8085106382979,AAEL027444,19,1.55631462722665,OG0000547
AAEL00439620,36.9153574612003,93.2432432432432,AAEL004396,20,2.5,OG0000006
AAEL00453320,24.1675541583775,91.8918918918919,AAEL004533,20,1.84025687692811,OG0001683
AAEL00594520,20.9644239618639,89.1891891891892,AAEL005945,20,0.826921882739769,OG0000006
AAEL00595220,14.4505467452249,91.8918918918919,AAEL005952,20,1.65123930622002,OG0000006
AAEL00649020,2.60814983044281,33.7837837837838,AAEL006490,20,2.5,OG0000081
AAEL00684420,7.04127233326275,58.1081081081081,AAEL006844,20,1.66691900902205,OG0000006
AAEL00931120,2.26031385241619,27.027027027027,AAEL009311,20,1.69897315800839,OG0002899
AAEL01004320,13.1424587351689,81.0810810810811,AAEL010043,20,2.5,OG0000081
AAEL01699720,2.31837619485961,25.6756756756757,AAEL016997,20,1.25422752540483,OG0000004
AAEL01835220,54.242812419533,100,AAEL018352,20,1.85679483699153,OG0000022
AAEL01966720,20.9042321324394,82.4324324324324,AAEL019667,20,0.590237375907435,OG0001683
AAEL01975720,8.71652518336028,60.8108108108108,AAEL019757,20,1.60455410805234,OG0000081
AAEL02512520,10.6953521684951,72.972972972973,AAEL025125,20,1.50500472231206,OG0000006
AAEL02724220,11.3533478381235,70.2702702702703,AAEL027242,20,1.2973846416882,OG0000006
AAEL00026621,4.63188787327464,52.3076923076923,AAEL000266,21,1.90027273263793,OG0000006
AAEL00498221,4.29798625859276,49.2307692307692,AAEL004982,21,0.780989340285616,OG0000961
AAEL00594521,20.3063766947012,93.8461538461538,AAEL005945,21,0.750509654905174,OG0000006
AAEL00694721,6.8357727667882,55.3846153846154,AAEL006947,21,1.469075601191,OG0000004
AAEL00889421,10.9921576016933,80,AAEL008894,21,2.1333053110254,OG0023874
AAEL00891621,41.3629597969881,96.9230769230769,AAEL008916,21,1.98898697564673,OG0000661
AAEL01168021,7.96703871523338,64.6153846153846,AAEL011680,21,0.734663896215671,OG0000004
AAEL01350521,14.0285525194588,83.0769230769231,AAEL013505,21,1.05211656227124,OG0000004
AAEL01415221,1.78632014803214,27.6923076923077,AAEL014152,21,1.37202179463317,OG0003317
AAEL01727221,8.08036359780401,73.8461538461539,AAEL017272,21,2.16753824447441,OG0000006
AAEL01835221,63.8571096017692,100,AAEL018352,21,2.46586722163261,OG0000022
AAEL01971021,55.7657500187599,100,AAEL019710,21,1.29766492788135,OG0000615
AAEL01980421,2.58096069239114,30.7692307692308,AAEL019804,21,0.741800380545643,OG0000006
AAEL02258921,4.72087469520252,43.0769230769231,AAEL022589,21,1.69601146575497,OG0017114
AAEL02744421,4.08764441383906,44.6153846153846,AAEL027444,21,2.18396221965902,OG0000547
AAEL00026622,3.3567608295704,53.125,AAEL000266,22,0.90912466349933,OG0000006
AAEL00477722,3.57060746864122,50,AAEL004777,22,0.536668140573296,OG0000149
AAEL00543722,14.3339722328413,87.5,AAEL005437,22,0.503235131444585,OG0000180
AAEL00587422,3.75196891884992,70.3125,AAEL005874,22,2.30271154633446,OG0004946
AAEL00665622,0.866262661601908,31.25,AAEL006656,22,1.2202591445726,OG0000148
AAEL00716922,0.949725498587288,26.5625,AAEL007169,22,0.847485671692706,OG0000004
AAEL00813822,4.50983371583496,84.375,AAEL008138,22,1.00594620767156,OG0000777
AAEL00909222,0.805444260991097,32.8125,AAEL009092,22,1.09426291214382,OG0001084
AAEL00931122,1.66889155094525,54.6875,AAEL009311,22,0.682836207750485,OG0002899
AAEL00982222,0.844021347105447,35.9375,AAEL009822,22,0.503466213027667,OG0000067
AAEL01471722,1.38392182907801,46.875,AAEL014717,22,0.842700702616605,OG0000706
AAEL01971422,3.74847929767841,68.75,AAEL019714,22,1.40281587420703,OG0003786
AAEL01982122,4.84195366786462,54.6875,AAEL019821,22,0.680845690243172,OG0012955
AAEL02089322,1.17618991676244,35.9375,AAEL020893,22,1.71035366433946,OG0000149
AAEL02226822,2.87864873359701,65.625,AAEL022268,22,1.68210571215392,OG0000706
AAEL00194023,3.3357571626915,32.258064516129,AAEL001940,23,2.5,OG0003892
AAEL00473223,9.80742349008582,53.2258064516129,AAEL004732,23,2.28832286382065,OG0000004
AAEL00543723,16.8591467592349,75.8064516129032,AAEL005437,23,1.06311664661723,OG0000180
AAEL00829223,6.57434741904028,33.8709677419355,AAEL008292,23,2.5,OG0000081
AAEL01279623,11.7202111911413,46.7741935483871,AAEL012796,23,2.5,OG0000596
