"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"NijA",0,2.12944665118798,0.331,0.003,0,"52","NijA"
"eater",0,2.12312673101833,0.57,0,0,"52","eater"
"CG14526",0,2.06959956240283,0.496,0.001,0,"52","CG14526"
"GstO3",0,2.04705643236638,0.579,0.01,0,"52","GstO3"
"CG6701",0,2.03310609288609,0.504,0.01,0,"52","CG6701"
"Vha68-22",0,1.98930596415077,0.595,0.022,0,"52","Vha68-2"
"CG53901",0,1.97546046939993,0.529,0.008,0,"52","CG5390"
"olf186-M",0,1.9607636385015,0.405,0.003,0,"52","olf186-M"
"yellow-f",0,1.94003361633288,0.504,0,0,"52","yellow-f"
"LanA",0,1.91074029628399,0.479,0.001,0,"52","LanA"
"CG34437",0,1.8987049196037,0.471,0,0,"52","CG34437"
"CG24931",0,1.89088987519404,0.57,0.02,0,"52","CG2493"
"CG5613",0,1.89004021281052,0.463,0.002,0,"52","CG5613"
"CG8586",0,1.88652052887042,0.529,0.002,0,"52","CG8586"
"Idgf1",0,1.88622263928667,0.496,0,0,"52","Idgf1"
"CG8066",0,1.87441701539783,0.529,0.02,0,"52","CG8066"
"CG3505",0,1.87008283465203,0.562,0.001,0,"52","CG3505"
"CG10359",0,1.86087843089029,0.504,0.002,0,"52","CG10359"
"Gbp1",0,1.83275651764829,0.446,0.007,0,"52","Gbp1"
"pinta",0,1.80897553516194,0.529,0.011,0,"52","pinta"
"MP1",0,1.7795303993676,0.512,0.01,0,"52","MP1"
"nec1",0,1.77272857988265,0.512,0.009,0,"52","nec"
"Spn88Eb",0,1.72863169265736,0.256,0,0,"52","Spn88Eb"
"CG4927",0,1.71351234046027,0.438,0,0,"52","CG4927"
"CG31689",0,1.67033763560127,0.463,0.007,0,"52","CG31689"
"CG3301",0,1.65895733227158,0.331,0.003,0,"52","CG3301"
"CG14523",0,1.65585933047829,0.421,0.001,0,"52","CG14523"
"CR44133",0,1.64484302368227,0.446,0,0,"52","CR44133"
"RhoL",0,1.62929024774086,0.521,0.005,0,"52","RhoL"
"PGRP-LC",0,1.61732971669705,0.471,0.007,0,"52","PGRP-LC"
"CG3831",0,1.60141659801144,0.438,0.007,0,"52","CG3831"
"CG11462",0,1.5905712764171,0.471,0.016,0,"52","CG1146"
"nrv1",0,1.59011150785491,0.496,0.011,0,"52","nrv1"
"Cyp4d8",0,1.58906036727019,0.463,0,0,"52","Cyp4d8"
"egr1",0,1.56949460014303,0.446,0.014,0,"52","egr"
"yellow-g",0,1.56680020518274,0.347,0.001,0,"52","yellow-g"
"Gbp2",0,1.56553308160242,0.372,0,0,"52","Gbp2"
"Npc2h",0,1.56300589103774,0.264,0,0,"52","Npc2h"
"CG31778",0,1.56097399275169,0.388,0,0,"52","CG31778"
"CG17224",0,1.5587084762225,0.339,0.005,0,"52","CG17224"
"Arpc3B",0,1.54423893636368,0.438,0.001,0,"52","Arpc3B"
"srp",0,1.53087005732694,0.463,0.001,0,"52","srp"
"LanB2",0,1.51628488707289,0.413,0.001,0,"52","LanB2"
"LManII",0,1.51216849639473,0.413,0.007,0,"52","LManII"
"CG30456",0,1.50559937985496,0.413,0.001,0,"52","CG30456"
"PGRP-LF",0,1.44531350620399,0.413,0.001,0,"52","PGRP-LF"
"Ugt58Fa",0,1.42133842634418,0.388,0.006,0,"52","Ugt58Fa"
"CR32194",0,1.41958475373126,0.388,0,0,"52","CR32194"
"CG17350",0,1.40845600687278,0.331,0.001,0,"52","CG17350"
"CG34253",0,1.37597880398287,0.364,0,0,"52","CG34253"
"modSP",0,1.3741475594927,0.405,0.001,0,"52","modSP"
